Date,Close
2018-01-02,1189.01
2018-01-03,1204.2
2018-01-04,1209.59
2018-01-05,1229.14
2018-01-08,1246.87
2018-01-09,1252.7
2018-01-10,1254.33
2018-01-11,1276.68
2018-01-12,1305.2
2018-01-16,1304.86
2018-01-17,1295
2018-01-18,1293.32
2018-01-19,1294.58
2018-01-22,1327.31
2018-01-23,1362.54
2018-01-24,1357.51
2018-01-25,1377.95
2018-01-26,1402.05
2018-01-29,1417.68
2018-01-30,1437.82
2018-01-31,1450.89
2018-02-01,1390
2018-02-02,1429.95
2018-02-05,1390
2018-02-06,1442.84
2018-02-07,1416.78
2018-02-08,1350.5
2018-02-09,1339.6
2018-02-12,1386.23
2018-02-13,1414.51
2018-02-14,1451.05
2018-02-15,1461.76
2018-02-16,1448.69
2018-02-20,1468.35
2018-02-21,1482.92
2018-02-22,1485.34
2018-02-23,1500
2018-02-26,1521.95
2018-02-27,1511.98
2018-02-28,1512.45
2018-03-01,1493.45
2018-03-02,1500.25
2018-03-05,1523.61
2018-03-06,1537.64
2018-03-07,1545
2018-03-08,1551.86
2018-03-09,1578.89
2018-03-12,1598.39
2018-03-13,1588.18
2018-03-14,1591
2018-03-15,1582.32
2018-03-16,1571.68
2018-03-19,1544.93
2018-03-20,1586.51
2018-03-21,1581.86
2018-03-22,1544.92
2018-03-23,1495.56
2018-03-26,1555.86
2018-03-27,1497.05
2018-03-28,1431.42
2018-03-29,1447.34
2018-04-02,1371.99
2018-04-03,1392.05
2018-04-04,1410.57
2018-04-05,1451.75
2018-04-06,1405.23
2018-04-09,1406.08
2018-04-10,1436.22
2018-04-11,1427.05
2018-04-12,1448.5
2018-04-13,1430.79
2018-04-16,1441.5
2018-04-17,1503.83
2018-04-18,1527.84
2018-04-19,1556.91
2018-04-20,1527.49
2018-04-23,1517.86
2018-04-24,1460.09
2018-04-25,1460.17
2018-04-26,1517.96
2018-04-27,1572.62
2018-04-30,1566.13
2018-05-01,1582.26
2018-05-02,1569.68
2018-05-03,1572.08
2018-05-04,1580.95
2018-05-07,1600.14
2018-05-08,1592.39
2018-05-09,1608
2018-05-10,1609.08
2018-05-11,1602.91
2018-05-14,1601.54
2018-05-15,1576.12
2018-05-16,1587.28
2018-05-17,1581.76
2018-05-18,1574.37
2018-05-21,1585.46
2018-05-22,1581.4
2018-05-23,1601.86
2018-05-24,1603.07
2018-05-25,1610.15
2018-05-29,1612.87
2018-05-30,1624.89
2018-05-31,1629.62
2018-06-01,1641.54
2018-06-04,1665.27
2018-06-05,1696.35
2018-06-06,1695.75
2018-06-07,1689.3
2018-06-08,1683.99
2018-06-11,1689.12
2018-06-12,1698.75
2018-06-13,1704.86
2018-06-14,1723.86
2018-06-15,1715.97
2018-06-18,1723.79
2018-06-19,1734.78
2018-06-20,1750.08
2018-06-21,1730.22
2018-06-22,1715.67
2018-06-25,1663.15
2018-06-26,1691.09
2018-06-27,1660.51
2018-06-28,1701.45
2018-06-29,1699.8
2018-07-02,1713.78
2018-07-03,1693.96
2018-07-05,1699.73
2018-07-06,1710.63
2018-07-09,1739.02
2018-07-10,1743.07
2018-07-11,1755
2018-07-12,1796.62
2018-07-13,1813.03
2018-07-16,1822.49
2018-07-17,1843.93
2018-07-18,1842.92
2018-07-19,1812.97
2018-07-20,1813.7
2018-07-23,1802
2018-07-24,1829.24
2018-07-25,1863.61
2018-07-26,1808
2018-07-27,1817.27
2018-07-30,1779.22
2018-07-31,1777.44
2018-08-01,1797.17
2018-08-02,1834.33
2018-08-03,1823.29
2018-08-06,1847.75
2018-08-07,1862.48
2018-08-08,1886.52
2018-08-09,1898.52
2018-08-10,1886.3
2018-08-13,1896.2
2018-08-14,1919.65
2018-08-15,1882.62
2018-08-16,1886.52
2018-08-17,1882.22
2018-08-20,1876.71
2018-08-21,1883.42
2018-08-22,1904.9
2018-08-23,1902.9
2018-08-24,1905.39
2018-08-27,1927.68
2018-08-28,1932.82
2018-08-29,1998.1
2018-08-30,2002.38
2018-08-31,2012.71
2018-09-04,2039.51
2018-09-05,1994.82
2018-09-06,1958.31
2018-09-07,1952.07
2018-09-10,1939.01
2018-09-11,1987.15
2018-09-12,1990
2018-09-13,1989.87
2018-09-14,1970.19
2018-09-17,1908.03
2018-09-18,1941.05
2018-09-19,1926.42
2018-09-20,1944.3
2018-09-21,1915.01
2018-09-24,1934.36
2018-09-25,1974.55
2018-09-26,1974.85
2018-09-27,2012.98
2018-09-28,2003
2018-10-01,2004.36
2018-10-02,1971.31
2018-10-03,1952.76
2018-10-04,1909.42
2018-10-05,1889.65
2018-10-08,1864.42
2018-10-09,1870.32
2018-10-10,1755.25
2018-10-11,1719.36
2018-10-12,1788.61
2018-10-15,1760.95
2018-10-16,1819.96
2018-10-17,1831.73
2018-10-18,1770.72
2018-10-19,1764.03
2018-10-22,1789.3
2018-10-23,1768.7
2018-10-24,1664.2
2018-10-25,1782.17
2018-10-26,1642.81
2018-10-29,1538.88
2018-10-30,1530.42
2018-10-31,1598.01
2018-11-01,1665.53
2018-11-02,1665.53
2018-11-05,1627.8
2018-11-06,1642.81
2018-11-07,1755.49
2018-11-08,1754.91
2018-11-09,1712.43
2018-11-12,1636.85
2018-11-13,1631.17
2018-11-14,1599.01
2018-11-15,1619.44
2018-11-16,1593.41
2018-11-19,1512.29
2018-11-20,1495.46
2018-11-21,1516.73
2018-11-23,1502.06
2018-11-26,1581.33
2018-11-27,1581.42
2018-11-28,1677.75
2018-11-29,1673.57
2018-11-30,1690.17
2018-12-03,1772.36
2018-12-04,1668.4
2018-12-06,1699.19
2018-12-07,1629.13
2018-12-10,1641.03
2018-12-11,1643.24
2018-12-12,1663.54
2018-12-13,1658.38
2018-12-14,1591.91
2018-12-17,1520.91
2018-12-18,1551.48
2018-12-19,1495.08
2018-12-20,1460.83
2018-12-21,1377.45
2018-12-24,1343.96
2018-12-26,1470.9
2018-12-27,1461.64
2018-12-28,1478.02
2018-12-31,1501.97
2019-01-02,1539.13
2019-01-03,1500.28
2019-01-04,1575.39
2019-01-07,1629.51
2019-01-08,1656.58
2019-01-09,1659.42
2019-01-10,1656.22
2019-01-11,1640.56
2019-01-14,1617.21
2019-01-15,1674.56
2019-01-16,1683.78
2019-01-17,1693.22
2019-01-18,1696.2
2019-01-22,1632.17
2019-01-23,1640.02
2019-01-24,1654.93
2019-01-25,1670.57
2019-01-28,1637.89
2019-01-29,1593.88
2019-01-30,1670.43
2019-01-31,1718.73
2019-02-01,1626.23
2019-02-04,1633.31
2019-02-05,1658.81
2019-02-06,1640.26
2019-02-07,1614.37
2019-02-08,1588.22
2019-02-11,1591
2019-02-12,1638.01
2019-02-13,1640
2019-02-14,1622.65
2019-02-15,1607.95
2019-02-19,1627.58
2019-02-20,1622.1
2019-02-21,1619.44
2019-02-22,1631.56
2019-02-25,1633
2019-02-26,1636.4
2019-02-27,1641.09
2019-02-28,1639.83
2019-03-01,1671.73
2019-03-04,1696.17
2019-03-05,1692.43
2019-03-06,1668.95
2019-03-07,1625.95
2019-03-08,1620.8
2019-03-11,1670.62
2019-03-12,1673.1
2019-03-13,1690.81
2019-03-14,1686.22
2019-03-15,1712.36
2019-03-18,1742.15
2019-03-19,1761.85
2019-03-20,1797.27
2019-03-21,1819.26
2019-03-22,1764.77
2019-03-25,1774.26
2019-03-26,1783.76
2019-03-27,1765.7
2019-03-28,1773.42
2019-03-29,1780.75
2019-04-01,1814.19
2019-04-02,1813.98
2019-04-03,1820.7
2019-04-04,1818.86
2019-04-05,1837.28
2019-04-08,1849.86
2019-04-09,1835.84
2019-04-10,1847.33
2019-04-11,1844.07
2019-04-12,1843.06
2019-04-15,1844.87
2019-04-16,1863.04
2019-04-17,1864.82
2019-04-18,1861.69
2019-04-22,1887.31
2019-04-23,1923.77
2019-04-24,1901.75
2019-04-25,1902.25
2019-04-26,1950.63
2019-04-29,1938.43
2019-04-30,1926.52
2019-05-01,1911.52
2019-05-02,1900.82
2019-05-03,1962.46
2019-05-06,1950.55
2019-05-07,1921
2019-05-08,1917.77
2019-05-09,1899.87
2019-05-10,1889.98
2019-05-13,1822.68
2019-05-14,1840.12
2019-05-15,1871.15
2019-05-16,1907.57
2019-05-17,1869
2019-05-20,1858.97
2019-05-21,1857.52
2019-05-22,1859.68
2019-05-23,1815.48
2019-05-24,1823.28
2019-05-28,1836.43
2019-05-29,1819.19
2019-05-30,1816.32
2019-05-31,1775.07
2019-06-03,1692.69
2019-06-04,1729.56
2019-06-05,1738.5
2019-06-06,1754.36
2019-06-07,1804.03
2019-06-10,1860.63
2019-06-11,1863.7
2019-06-12,1855.32
2019-06-13,1870.3
2019-06-14,1869.67
2019-06-17,1886.03
2019-06-18,1901.37
2019-06-19,1908.79
2019-06-20,1918.19
2019-06-21,1911.3
2019-06-24,1913.9
2019-06-25,1878.27
2019-06-26,1897.83
2019-06-27,1904.28
2019-06-28,1893.63
2019-07-01,1922.19
2019-07-02,1934.31
2019-07-03,1939
2019-07-05,1942.91
2019-07-08,1952.32
2019-07-09,1988.3
2019-07-10,2017.41
2019-07-11,2001.07
2019-07-12,2011
2019-07-15,2020.99
2019-07-16,2009.9
2019-07-17,1992.03
2019-07-18,1977.9
2019-07-19,1964.52
2019-07-22,1985.63
2019-07-23,1994.49
2019-07-24,2000.81
2019-07-25,1973.82
2019-07-26,1943.05
2019-07-29,1912.45
2019-07-30,1898.53
2019-07-31,1866.78
2019-08-01,1855.32
2019-08-02,1823.24
2019-08-05,1765.13
2019-08-06,1787.83
2019-08-07,1793.4
2019-08-08,1832.89
2019-08-09,1807.58
2019-08-12,1784.92
2019-08-13,1824.34
2019-08-14,1762.96
2019-08-15,1776.12
2019-08-16,1792.57
2019-08-19,1816.12
2019-08-20,1801.38
2019-08-21,1823.54
2019-08-22,1805.6
2019-08-23,1749.62
2019-08-26,1768.87
2019-08-27,1761.83
2019-08-28,1764.25
2019-08-29,1786.4
2019-08-30,1776.29
2019-09-03,1789.84
2019-09-04,1800.62
2019-09-05,1840.72
2019-09-06,1833.51
2019-09-09,1831.35
2019-09-10,1820.55
2019-09-11,1822.99
2019-09-12,1843.55
2019-09-13,1839.34
2019-09-16,1807.84
2019-09-17,1822.55
2019-09-18,1817.46
2019-09-19,1821.5
2019-09-20,1794.16
2019-09-23,1785.3
2019-09-24,1741.61
2019-09-25,1768.33
2019-09-26,1739.84
2019-09-27,1725.45
2019-09-30,1735.91
2019-10-01,1735.65
2019-10-02,1713.23
2019-10-03,1724.42
2019-10-04,1739.65
2019-10-07,1732.66
2019-10-08,1705.51
2019-10-09,1721.99
2019-10-10,1720.26
2019-10-11,1731.92
2019-10-14,1736.43
2019-10-15,1767.38
2019-10-16,1777.43
2019-10-17,1787.48
2019-10-18,1757.51
2019-10-21,1785.66
