Date,Close
2018-01-02,64.11
2018-01-03,63.45
2018-01-04,62.92
2018-01-05,63.32
2018-01-08,67.28
2018-01-09,66.74
2018-01-10,66.96
2018-01-11,67.59
2018-01-12,67.24
2018-01-16,68.01
2018-01-17,69.43
2018-01-18,68.91
2018-01-19,70
2018-01-22,70.31
2018-01-23,70.56
2018-01-24,69.18
2018-01-25,67.53
2018-01-26,68.57
2018-01-29,69.91
2018-01-30,69.16
2018-01-31,70.86
2018-02-01,69.85
2018-02-02,68.75
2018-02-05,66.63
2018-02-06,66.79
2018-02-07,69
2018-02-08,63.05
2018-02-09,62.08
2018-02-12,63.15
2018-02-13,64.73
2018-02-14,64.46
2018-02-15,66.81
2018-02-16,67.1
2018-02-20,66.95
2018-02-21,66.66
2018-02-22,69.23
2018-02-23,70.41
2018-02-26,71.48
2018-02-27,70.2
2018-02-28,68.61
2018-03-01,66.19
2018-03-02,67.02
2018-03-05,66.67
2018-03-06,65.64
2018-03-07,66.46
2018-03-08,65.82
2018-03-09,65.43
2018-03-12,69.1
2018-03-13,68.37
2018-03-14,65.33
2018-03-15,65.12
2018-03-16,64.27
2018-03-19,62.71
2018-03-20,62.11
2018-03-21,63.31
2018-03-22,61.82
2018-03-23,60.31
2018-03-26,60.84
2018-03-27,55.84
2018-03-28,51.56
2018-03-29,53.23
2018-04-02,50.5
2018-04-03,53.51
2018-04-04,57.39
2018-04-05,61.14
2018-04-06,59.86
2018-04-09,57.93
2018-04-10,60.94
2018-04-11,60.19
2018-04-12,58.82
2018-04-13,60.07
2018-04-16,58.24
2018-04-17,57.54
2018-04-18,58.67
2018-04-19,60.02
2018-04-20,58.05
2018-04-23,56.67
2018-04-24,56.69
2018-04-25,56.14
2018-04-26,57.1
2018-04-27,58.82
2018-04-30,58.78
2018-05-01,59.98
2018-05-02,60.23
2018-05-03,56.89
2018-05-04,58.82
2018-05-07,60.55
2018-05-08,60.39
2018-05-09,61.37
2018-05-10,61
2018-05-11,60.21
2018-05-14,58.39
2018-05-15,56.84
2018-05-16,57.3
2018-05-17,56.91
2018-05-18,56.91
2018-05-21,56.9
2018-05-22,55
